Start,Finish,ElapsedTime
1744107147.0071,1744107150.4021,3.3950
1744107411.8749,1744107415.3316,3.4567
1744107494.6379,1744107497.6797,3.0418
1744107548.2766,1744107551.6284,3.3518
1744107616.5792,1744107619.9305,3.3513
1744107690.8971,1744107694.3593,3.4622
1744107752.6712,1744107756.0978,3.4266
1744107808.6322,1744107811.8712,3.2390
1744107854.6199,1744107858.0212,3.4013
1744107920.4568,1744107923.7460,3.2892
1744107978.8080,1744107982.1940,3.3860
1744108029.6183,1744108032.8913,3.2731
1744108080.2716,1744108083.7490,3.4774
1744108133.6881,1744108137.2061,3.5180
1744108183.3722,1744108186.6130,3.2408
1744108233.8343,1744108237.1750,3.3407
1744108282.5240,1744108286.2663,3.7423
1744108340.1508,1744108343.5579,3.4070
1744108393.0596,1744108396.4688,3.4092
1744108443.8057,1744108447.3657,3.5601
