Start,Finish,ElapsedTime
1744107146.9849,1744107153.7503,6.7654
1744107411.9235,1744107418.6723,6.7488
1744107494.2120,1744107501.1032,6.8912
1744107548.2790,1744107555.0039,6.7249
1744107616.5521,1744107623.1646,6.6125
1744107690.9348,1744107697.5864,6.6517
1744107752.8782,1744107759.4284,6.5502
1744107808.5269,1744107815.2139,6.6871
1744107854.3117,1744107861.2964,6.9847
1744107920.4843,1744107926.9900,6.5058
1744107978.9877,1744107985.5191,6.5313
1744108029.4581,1744108036.2295,6.7713
1744108080.5048,1744108087.0070,6.5022
1744108133.4883,1744108140.5996,7.1113
1744108183.1130,1744108189.8889,6.7759
1744108233.8505,1744108240.5609,6.7104
1744108282.7769,1744108289.5707,6.7937
1744108339.9598,1744108346.8638,6.9040
1744108392.9504,1744108399.7187,6.7683
1744108444.1698,1744108450.6637,6.4939
